codigo_inep,escola
33175993,CENTRO CULTURAL PEDRO II - CARVALHO RAMOS
33159157,CENTRO CUTURAL MANILHA UNIDADE II
15147002,CENTRO DE APRENDIZAGEM CRESCER
15566552,CENTRO DE APRENDIZAGEM E DESENVOLVIMENTO PERCEPCAO
17072026,CENTRO DE ATIVIDADE DO TRABALHADOR
13096982,CENTRO DE ATIVIDADES DANILO DE MATOS AREOSA - SESC
32021780,CENTRO DE ATIVIDADES EURICO DE AGUIAR SALLES
32052367,CENTRO DE ATIVIDADES JONES DOS SANTOS NEVES
52104168,CENTRO DE ATIVIDADES SESI JARDIM COLORADO
42130930,CENTRO DE ED CAMBORIU LTDA ME - CECAM
42136776,CENTRO DE ED ELCANA
42142750,CENTRO DE ED OBJETIVO
42149223,CENTRO DE ED PROFISSIONAL SENAC PALHOCA
31018864,CENTRO DE EDUCACAO ANGHER
33522294,CENTRO DE EDUCACAO APLICADA SAO FIDELIS LTDA
32082754,CENTRO DE EDUCACAO BASICA E PROFISSIONAL HENRIQUE MEYERFREUND - SESI
51014467,CENTRO DE EDUCACAO BASICA SAO JOSE
32064950,CENTRO DE EDUCACAO BASICA SESI RAUL GIUBERTI
29439833,CENTRO DE EDUCACAO BEIJA FLOR LTDA
29635616,CENTRO DE EDUCACAO COLIBRI
35150393,CENTRO DE EDUCACAO CONSTRUINDO
28032861,CENTRO DE EDUCACAO DE ENS FUNDAMENTAL E MEDIO DO SESI JAIR MENEGUELLI
26101882,CENTRO DE EDUCACAO DIMENSAO
31096211,CENTRO DE EDUCACAO E CULTURA - CEC
15168735,CENTRO DE EDUCACAO E QUALIFICACAO PROFISSIONAL POTENCIA MASTER
33083550,CENTRO DE EDUCACAO E TECNOLOGIA DO GRANDE RIO
29383293,CENTRO DE EDUCACAO EULINA FELIPE
15160491,CENTRO DE EDUCACAO INFANTIL E FUNDAMENTAL O FUTURO E HOJE
14000814,CENTRO DE EDUCACAO INTEGRADA COLMEIA LTDA
24350303,CENTRO DE EDUCACAO INTEGRADA MAIS LTDA
24025461,CENTRO DE EDUCACAO INTEGRADA MONSENHOR HONORIO
24089214,CENTRO DE EDUCACAO INTEGRADA S A - ROBERTO FREIRE
24069191,CENTRO DE EDUCACAO INTEGRADA S A - ROMUALDO
24083550,CENTRO DE EDUCACAO INTEGRADA ZONA SUL LTDA
13098284,CENTRO DE EDUCACAO INTEGRAL CHRIST MASTER
29436770,CENTRO DE EDUCACAO INTEGRAL DE IRECE
29410991,CENTRO DE EDUCACAO M FIGUEIREDO
29256038,CENTRO DE EDUCACAO MARIA NILZA AZEVEDO SILVA
33149763,CENTRO DE EDUCACAO MODERNA
33186723,CENTRO DE EDUCACAO MODERNA
29340810,CENTRO DE EDUCACAO PROBO MEIRA JUNIOR
24078077,CENTRO DE EDUCACAO PROF MARIA NORMA ALVES
31326917,CENTRO DE EDUCACAO PROFISSIONAL ALPHA LTDA
26192632,CENTRO DE EDUCACAO PROFISSIONAL MEDIOTEC
14324636,CENTRO DE EDUCACAO SESC
13032127,CENTRO DE EDUCACAO SESC JOSE ROBERTO TADROS
29460166,CENTRO DE EDUCACAO TECNOLOGICA DO ESTADO DA BAHIA - CETEB
33057443,CENTRO DE ENS INT RABELLO AMIN JD ESC LAPIS DE COR
50007874,CENTRO DE ENS NOSSA SENHORA AUXILIADORA
52102513,CENTRO DE ENSINO ACOLHER
31374628,CENTRO DE ENSINO ADMISSAO
13031457,CENTRO DE ENSINO ALPHA DELTA
35185218,CENTRO DE ENSINO CACA TALENTOS
32038178,CENTRO DE ENSINO CHARLES DARWIN
32041411,CENTRO DE ENSINO CHARLES DARWIN
11000058,CENTRO DE ENSINO CLASSE A
42152968,CENTRO DE ENSINO CLICK SOLUCOES
32074182,CENTRO DE ENSINO COLATINENSE DARWIN
25123785,CENTRO DE ENSINO CONTEMPORANEO LTDA
51066297,CENTRO DE ENSINO DE JACIARA LTDA - ESCOLA DOM BOSCO
25092448,CENTRO DE ENSINO DECISAO LTDA
33172315,CENTRO DE ENSINO E CULTURA
25130676,CENTRO DE ENSINO E EDUCACAO DA BORBOREMA LDTA
25134167,CENTRO DE ENSINO E SERVICOS PREPARATORIOS DE VESTIBULARES LTDA
25132032,CENTRO DE ENSINO EDUCA NEXUS
29457041,CENTRO DE ENSINO EDUCAR
15176142,CENTRO DE ENSINO EXITUS
42159423,CENTRO DE ENSINO FLORIPA
42114357,CENTRO DE ENSINO GUROO
25133985,CENTRO DE ENSINO HBS LTDA
33138672,CENTRO DE ENSINO INTEGRADO
17055350,CENTRO DE ENSINO INTEGRADO DAS AMERICAS - ESCOLA MAPLE BEAR DE PALMAS
32076223,CENTRO DE ENSINO LINHARENSE DARWIN
27047512,CENTRO DE ENSINO LOGOS
16011694,CENTRO DE ENSINO MADRE TEREZA
43104975,CENTRO DE ENSINO MEDIO FARROUPILHA - UNIDADE DE ENSINO COLEGIO FARROUPILHA
43201717,CENTRO DE ENSINO MEDIO PASTOR DOHMS- UNIDADE DE ENSINO ZONA NORTE
43109284,CENTRO DE ENSINO MEDIO PASTOR DOHMS- UNIDADE DE ENSINO ZONA SUL
43107494,CENTRO DE ENSINO MEDIO PASTOR DOHMS-UNIDADE DE ENSINO HIGIENOPOLIS
28037367,CENTRO DE ENSINO MENEZES
11037474,CENTRO DE ENSINO MINEIRO
33042373,CENTRO DE ENSINO MODERNO
13100629,CENTRO DE ENSINO NIVEA ROQUE
32080778,CENTRO DE ENSINO OUSE
15570533,CENTRO DE ENSINO PLENO IDEAL
16009380,CENTRO DE ENSINO PODIUM
33181217,CENTRO DE ENSINO PRIMA
21591679,CENTRO DE ENSINO PROFESSORA MARIA DO SOCORRO COSTA MOURAO
21165874,CENTRO DE ENSINO ROSA CAMARA
53005457,CENTRO DE ENSINO SANTA RITA DE CASSIA
21274630,CENTRO DE ENSINO THAYNARA SOUZA CABRAL
53012330,CENTRO DE ENSINO WGS LTDA
15167372,CENTRO DE ESTUDO PROFESSOR MANOEL LEITE
15208400,CENTRO DE ESTUDOS ANTENOR REIS
15185001,CENTRO DE ESTUDOS DA AMAZONIA
15531350,CENTRO DE ESTUDOS IMPACTO
33098557,CENTRO DE ESTUDOS INTEGRADOS
15516423,CENTRO DE ESTUDOS NOVO HORIZONTE
41379420,CENTRO DE EXC EM EDUCACAO CEF M
28032322,CENTRO DE EXCELENCIA MASTER
33101612,CENTRO DE FORMACAO NOGUEIRA MINEIRO
